                  下月连续 (IFL1)
 
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA30  	   MA.MA60  	   MA.MA120 	   MA.MA250 	 
 01/08-14:09	2536.200	2537.600	2536.200	2536.600	             27	   2545.700	   2546.217	   2545.642	   2544.944	
 01/08-14:10	2536.600	2538.000	2536.400	2537.800	             39	   2545.183	   2546.142	   2545.650	   2544.890	
 01/08-14:11	2537.600	2537.600	2534.400	2535.800	             50	   2544.583	   2546.017	   2545.629	   2544.828	
 01/08-14:12	2535.600	2537.600	2535.600	2537.400	             27	   2544.083	   2545.917	   2545.637	   2544.768	
 01/08-14:13	2537.600	2540.200	2537.600	2538.600	             98	   2543.700	   2545.808	   2545.671	   2544.716	
 01/08-14:14	2539.400	2540.400	2539.200	2540.000	             26	   2543.417	   2545.725	   2545.696	   2544.660	
 01/08-14:15	2540.400	2543.000	2540.400	2541.800	             64	   2543.217	   2545.658	   2545.750	   2544.610	
 01/08-14:16	2541.600	2542.200	2540.000	2540.000	             33	   2543.017	   2545.583	   2545.767	   2544.550	
 01/08-14:17	2540.000	2541.200	2539.600	2540.200	             14	   2542.733	   2545.592	   2545.788	   2544.500	
 01/08-14:18	2540.400	2541.200	2540.400	2540.800	             36	   2542.450	   2545.592	   2545.825	   2544.452	
 01/08-14:19	2541.200	2541.200	2540.200	2540.400	             24	   2542.200	   2545.600	   2545.850	   2544.404	
 01/08-14:20	2539.600	2541.600	2539.000	2541.400	             21	   2541.883	   2545.567	   2545.883	   2544.362	
 01/08-14:21	2540.600	2542.200	2540.200	2542.200	             47	   2541.583	   2545.542	   2545.925	   2544.334	
 01/08-14:22	2541.800	2541.800	2540.400	2541.400	              7	   2541.317	   2545.467	   2545.971	   2544.300	
 01/08-14:23	2541.000	2541.600	2538.200	2539.000	             66	   2540.950	   2545.358	   2545.992	   2544.256	
 01/08-14:24	2539.200	2540.800	2537.200	2537.600	             27	   2540.633	   2545.200	   2546.000	   2544.202	
 01/08-14:25	2538.600	2538.600	2534.600	2536.400	             70	   2540.367	   2545.025	   2545.967	   2544.140	
 01/08-14:26	2536.200	2538.200	2536.200	2538.200	             27	   2540.200	   2544.875	   2545.950	   2544.084	
 01/08-14:27	2537.200	2537.200	2535.400	2536.200	             39	   2540.000	   2544.692	   2545.921	   2544.022	
 01/08-14:28	2537.000	2537.600	2536.800	2537.200	              8	   2539.717	   2544.525	   2545.863	   2543.964	
 01/08-14:29	2537.600	2539.200	2537.600	2538.200	              8	   2539.483	   2544.350	   2545.825	   2543.908	
 01/08-14:30	2538.800	2538.800	2537.400	2537.800	             39	   2539.250	   2544.200	   2545.779	   2543.846	
 01/08-14:31	2537.200	2537.400	2536.000	2536.200	             16	   2539.067	   2544.008	   2545.738	   2543.780	
 01/08-14:32	2536.200	2536.200	2530.000	2530.000	            144	   2538.650	   2543.650	   2545.629	   2543.690	
 01/08-14:33	2530.000	2533.200	2530.000	2532.800	             43	   2538.250	   2543.317	   2545.521	   2543.612	
 01/08-14:34	2532.000	2533.600	2531.800	2533.600	             35	   2537.900	   2543.017	   2545.404	   2543.534	
 01/08-14:35	2533.200	2534.200	2532.200	2532.200	             39	   2537.583	   2542.692	   2545.267	   2543.452	
 01/08-14:36	2532.400	2534.600	2532.400	2533.800	             38	   2537.500	   2542.383	   2545.154	   2543.374	
 01/08-14:37	2534.800	2537.200	2534.800	2536.200	             69	   2537.517	   2542.108	   2545.058	   2543.310	
 01/08-14:38	2536.400	2537.200	2536.000	2537.200	             24	   2537.567	   2541.858	   2544.979	   2543.248	
 01/08-14:39	2537.600	2537.600	2537.000	2537.200	             17	   2537.600	   2541.650	   2544.925	   2543.188	
 01/08-14:40	2537.200	2537.200	2536.400	2536.400	             15	   2537.533	   2541.358	   2544.858	   2543.124	
 01/08-14:41	2537.200	2539.800	2536.800	2539.800	             36	   2537.667	   2541.125	   2544.833	   2543.078	
 01/08-14:42	2539.400	2539.400	2538.000	2538.000	             46	   2537.700	   2540.892	   2544.800	   2543.026	
 01/08-14:43	2537.800	2539.000	2537.800	2539.000	             39	   2537.700	   2540.700	   2544.758	   2542.976	
 01/08-14:44	2539.400	2539.400	2538.400	2539.200	             25	   2537.667	   2540.542	   2544.696	   2542.924	
 01/08-14:45	2538.600	2539.200	2538.600	2539.200	             12	   2537.600	   2540.408	   2544.633	   2542.878	
 01/08-14:46	2539.800	2542.200	2539.800	2541.800	             82	   2537.650	   2540.333	   2544.596	   2542.836	
 01/08-14:47	2541.400	2543.400	2541.000	2542.400	             68	   2537.717	   2540.225	   2544.554	   2542.806	
 01/08-14:48	2542.600	2543.600	2541.600	2542.800	             69	   2537.800	   2540.125	   2544.512	   2542.778	
 01/08-14:49	2543.200	2544.000	2541.200	2542.000	             21	   2537.850	   2540.025	   2544.483	   2542.750	
 01/08-14:50	2542.200	2542.200	2541.400	2541.400	             19	   2537.850	   2539.867	   2544.433	   2542.718	
 01/08-14:51	2541.400	2542.400	2541.400	2541.400	             17	   2537.817	   2539.700	   2544.358	   2542.686	
 01/08-14:52	2541.400	2542.800	2541.400	2542.800	             43	   2537.867	   2539.592	   2544.279	   2542.668	
 01/08-14:53	2543.000	2543.800	2542.400	2542.400	             38	   2537.983	   2539.467	   2544.188	   2542.642	
 01/08-14:54	2542.200	2542.400	2540.200	2540.600	             32	   2538.083	   2539.358	   2544.083	   2542.604	
 01/08-14:55	2540.400	2542.000	2540.400	2541.600	             35	   2538.250	   2539.308	   2543.983	   2542.576	
 01/08-14:56	2542.200	2542.600	2541.400	2541.400	             11	   2538.367	   2539.283	   2543.883	   2542.540	
 01/08-14:57	2541.800	2542.600	2541.800	2542.600	             11	   2538.567	   2539.283	   2543.746	   2542.508	
 01/08-14:58	2542.200	2542.800	2541.600	2542.800	             26	   2538.767	   2539.242	   2543.625	   2542.478	
 01/08-14:59	2542.600	2543.000	2542.400	2543.000	             21	   2538.917	   2539.200	   2543.508	   2542.442	
 01/08-15:00	2543.000	2543.000	2541.600	2541.800	             16	   2539.050	   2539.150	   2543.392	   2542.398	
 01/08-15:01	2542.400	2545.200	2542.400	2544.800	             85	   2539.333	   2539.200	   2543.325	   2542.366	
 01/08-15:02	2545.000	2545.000	2544.200	2544.400	             11	   2539.817	   2539.233	   2543.267	   2542.330	
 01/08-15:03	2544.400	2544.400	2544.200	2544.200	              4	   2540.200	   2539.225	   2543.200	   2542.290	
 01/08-15:04	2544.200	2544.800	2543.800	2543.800	             21	   2540.550	   2539.225	   2543.142	   2542.256	
 01/08-15:05	2544.000	2544.600	2543.600	2544.600	              9	   2540.950	   2539.267	   2543.092	   2542.224	
 01/08-15:06	2544.600	2545.800	2544.400	2545.400	             27	   2541.350	   2539.425	   2543.054	   2542.198	
 01/08-15:07	2544.800	2544.800	2543.000	2543.400	            139	   2541.583	   2539.550	   2543.033	   2542.168	
 01/08-15:08	2543.600	2544.400	2543.000	2543.600	            143	   2541.800	   2539.683	   2543.021	   2542.130	
 01/08-15:09	2543.200	2543.200	2542.200	2542.200	             23	   2541.950	   2539.775	   2542.996	   2542.084	
 01/08-15:10	2541.600	2542.200	2541.600	2542.000	            126	   2542.150	   2539.842	   2542.992	   2542.040	
 01/08-15:11	2542.400	2542.400	2542.400	2542.400	              2	   2542.233	   2539.950	   2542.983	   2541.998	
 01/08-15:12	2542.000	2542.600	2541.600	2541.800	             10	   2542.367	   2540.033	   2542.975	   2541.952	
 01/08-15:13	2541.800	2542.400	2541.200	2542.400	             19	   2542.467	   2540.083	   2542.946	   2541.912	
 01/08-15:14	2542.200	2543.000	2542.200	2542.800	             16	   2542.600	   2540.133	   2542.929	   2541.870	
 01/08-15:15	2542.600	2544.600	2542.400	2544.000	             39	   2542.750	   2540.175	   2542.917	   2541.828	
 01/09-09:16	2543.800	2546.600	2543.800	2545.800	            106	   2542.900	   2540.275	   2542.929	   2541.784	
 01/09-09:17	2546.600	2547.400	2544.800	2545.200	             51	   2542.983	   2540.350	   2542.971	   2541.738	
 01/09-09:18	2545.000	2545.000	2542.800	2543.200	             52	   2542.983	   2540.392	   2542.992	   2541.688	
 01/09-09:19	2543.600	2544.800	2542.600	2543.000	            120	   2543.017	   2540.433	   2543.017	   2541.630	
 01/09-09:20	2543.600	2545.200	2543.000	2544.800	            102	   2543.133	   2540.492	   2543.029	   2541.592	
 01/09-09:21	2544.800	2545.400	2544.200	2544.400	             69	   2543.250	   2540.533	   2543.038	   2541.566	
 01/09-09:22	2545.000	2546.400	2544.600	2544.800	             46	   2543.300	   2540.583	   2543.025	   2541.540	
 01/09-09:23	2544.600	2545.600	2544.600	2545.000	             27	   2543.383	   2540.683	   2543.021	   2541.514	
 01/09-09:24	2544.400	2544.400	2541.000	2542.200	             36	   2543.450	   2540.767	   2542.983	   2541.480	
 01/09-09:25	2541.400	2541.400	2537.200	2539.400	            107	   2543.383	   2540.817	   2542.921	   2541.440	
 01/09-09:26	2538.200	2539.600	2537.800	2537.800	             57	   2543.250	   2540.808	   2542.842	   2541.390	
 01/09-09:27	2538.000	2539.000	2536.200	2538.800	             60	   2543.133	   2540.850	   2542.771	   2541.342	
 01/09-09:28	2538.800	2541.200	2538.200	2540.600	             43	   2543.050	   2540.908	   2542.717	   2541.296	
 01/09-09:29	2540.800	2542.400	2540.800	2541.600	             57	   2543.000	   2540.958	   2542.654	   2541.258	
 01/09-09:30	2541.600	2542.200	2541.600	2542.200	             18	   2543.033	   2541.042	   2542.621	   2541.224	
 01/09-09:31	2542.000	2543.600	2540.600	2543.200	             69	   2542.967	   2541.150	   2542.579	   2541.194	
 01/09-09:32	2543.200	2544.400	2542.200	2542.600	             76	   2542.900	   2541.358	   2542.504	   2541.154	
 01/09-09:33	2542.600	2542.600	2538.800	2539.800	             67	   2542.767	   2541.483	   2542.400	   2541.110	
 01/09-09:34	2539.400	2540.600	2539.400	2540.400	             62	   2542.650	   2541.600	   2542.308	   2541.068	
 01/09-09:35	2540.200	2544.600	2540.200	2544.600	             66	   2542.650	   2541.800	   2542.246	   2541.062	
 01/09-09:36	2544.000	2544.800	2543.000	2543.600	             43	   2542.583	   2541.967	   2542.175	   2541.058	
 01/09-09:37	2544.200	2546.600	2544.000	2546.000	             68	   2542.667	   2542.125	   2542.117	   2541.082	
 01/09-09:38	2545.400	2546.600	2544.400	2546.600	             59	   2542.767	   2542.283	   2542.071	   2541.124	
 01/09-09:39	2546.400	2546.600	2544.600	2545.200	             33	   2542.883	   2542.417	   2542.033	   2541.156	
 01/09-09:40	2545.400	2546.400	2544.400	2544.800	             46	   2542.967	   2542.558	   2541.958	   2541.214	
 01/09-09:41	2544.600	2545.800	2544.600	2545.000	             29	   2543.050	   2542.642	   2541.883	   2541.284	
 01/09-09:42	2545.400	2550.000	2545.400	2549.200	            232	   2543.300	   2542.833	   2541.863	   2541.364	
 01/09-09:43	2549.000	2549.600	2548.400	2548.800	             49	   2543.517	   2542.992	   2541.846	   2541.454	
 01/09-09:44	2549.000	2552.000	2548.400	2551.600	            103	   2543.800	   2543.200	   2541.871	   2541.552	
 01/09-09:45	2551.200	2552.600	2551.000	2551.400	             52	   2544.050	   2543.400	   2541.904	   2541.654	
 01/09-09:46	2551.600	2552.200	2548.600	2549.600	             85	   2544.167	   2543.533	   2541.933	   2541.736	
 01/09-09:47	2550.400	2555.400	2550.400	2553.800	            134	   2544.467	   2543.725	   2541.975	   2541.838	
 01/09-09:48	2554.600	2556.000	2551.400	2552.200	             98	   2544.767	   2543.875	   2542.000	   2541.928	
 01/09-09:49	2552.600	2553.200	2548.600	2549.600	             57	   2545.000	   2544.008	   2542.017	   2542.018	
 01/09-09:50	2550.200	2550.800	2548.400	2549.600	             37	   2545.150	   2544.142	   2542.004	   2542.118	
 01/09-09:51	2549.400	2550.200	2546.400	2546.400	            106	   2545.217	   2544.233	   2541.967	   2542.204	
 01/09-09:52	2546.200	2547.600	2544.400	2544.800	            112	   2545.217	   2544.258	   2541.925	   2542.282	
 01/09-09:53	2545.000	2545.800	2542.800	2543.400	             61	   2545.167	   2544.275	   2541.871	   2542.352	
 01/09-09:54	2543.000	2544.000	2542.200	2543.600	             73	   2545.200	   2544.325	   2541.842	   2542.422	
 01/09-09:55	2543.200	2544.200	2542.800	2543.200	             61	   2545.333	   2544.358	   2541.833	   2542.496	
 01/09-09:56	2542.400	2544.600	2542.400	2544.600	             57	   2545.567	   2544.408	   2541.846	   2542.570	
 01/09-09:57	2543.800	2544.400	2543.400	2544.000	             34	   2545.733	   2544.433	   2541.858	   2542.638	
 01/09-09:58	2544.000	2546.600	2544.000	2545.200	             76	   2545.883	   2544.467	   2541.854	   2542.706	
 01/09-09:59	2545.200	2545.600	2545.000	2545.200	             40	   2546.017	   2544.508	   2541.854	   2542.776	
 01/09-10:00	2545.200	2545.600	2543.600	2544.000	             52	   2546.067	   2544.550	   2541.850	   2542.844	
 01/09-10:01	2543.800	2549.000	2543.400	2548.800	             77	   2546.250	   2544.608	   2541.904	   2542.924	
 01/09-10:02	2548.400	2550.800	2548.200	2549.400	             75	   2546.483	   2544.692	   2541.962	   2543.004	
 01/09-10:03	2548.800	2549.200	2548.000	2549.200	             54	   2546.783	   2544.775	   2542.000	   2543.088	
 01/09-10:04	2549.600	2550.600	2549.200	2549.200	             51	   2547.083	   2544.867	   2542.046	   2543.178	
 01/09-10:05	2549.200	2550.000	2548.400	2550.000	             37	   2547.267	   2544.958	   2542.113	   2543.266	
 01/09-10:06	2550.000	2550.200	2548.800	2548.800	             17	   2547.433	   2545.008	   2542.217	   2543.346	
 01/09-10:07	2548.400	2548.800	2547.600	2548.400	             33	   2547.517	   2545.092	   2542.321	   2543.430	
 01/09-10:08	2549.200	2550.400	2549.200	2549.800	             22	   2547.633	   2545.200	   2542.442	   2543.520	
 01/09-10:09	2550.000	2550.000	2548.800	2548.800	             42	   2547.733	   2545.308	   2542.542	   2543.604	
 01/09-10:10	2548.800	2548.800	2543.400	2544.600	            102	   2547.750	   2545.358	   2542.600	   2543.668	
 01/09-10:11	2544.600	2545.800	2544.200	2544.200	             44	   2547.717	   2545.383	   2542.667	   2543.724	
 01/09-10:12	2544.200	2545.600	2543.800	2543.800	             52	   2547.533	   2545.417	   2542.725	   2543.776	
 01/09-10:13	2544.200	2544.200	2542.800	2543.200	             42	   2547.350	   2545.433	   2542.758	   2543.826	
 01/09-10:14	2543.400	2545.600	2543.400	2545.000	             22	   2547.133	   2545.467	   2542.800	   2543.884	
 01/09-10:15	2544.400	2546.800	2544.400	2546.000	             30	   2546.950	   2545.500	   2542.837	   2543.946	
 01/09-10:16	2545.400	2546.600	2544.800	2546.200	             22	   2546.833	   2545.500	   2542.887	   2544.002	
 01/09-10:17	2546.200	2548.000	2546.000	2547.400	             41	   2546.617	   2545.542	   2542.946	   2544.054	
 01/09-10:18	2547.600	2548.400	2547.200	2547.400	             19	   2546.467	   2545.617	   2543.004	   2544.102	
 01/09-10:19	2547.600	2548.200	2545.200	2546.200	             59	   2546.333	   2545.667	   2543.050	   2544.144	
 01/09-10:20	2546.600	2548.600	2546.200	2548.000	             21	   2546.283	   2545.717	   2543.104	   2544.188	
 01/09-10:21	2547.200	2548.400	2545.600	2546.800	             61	   2546.300	   2545.758	   2543.146	   2544.222	
 01/09-10:22	2546.400	2546.800	2544.600	2545.600	             45	   2546.333	   2545.775	   2543.179	   2544.260	
 01/09-10:23	2545.600	2545.800	2543.000	2544.000	             34	   2546.350	   2545.758	   2543.221	   2544.296	
 01/09-10:24	2543.000	2543.000	2540.400	2541.200	             63	   2546.283	   2545.742	   2543.254	   2544.314	
 01/09-10:25	2541.000	2542.200	2540.400	2541.000	             93	   2546.200	   2545.767	   2543.292	   2544.338	
 01/09-10:26	2541.000	2542.400	2540.200	2541.400	             84	   2546.083	   2545.825	   2543.317	   2544.350	
 01/09-10:27	2541.600	2543.600	2541.200	2542.000	             50	   2546.017	   2545.875	   2543.363	   2544.366	
 01/09-10:28	2542.000	2542.600	2540.600	2540.600	             46	   2545.883	   2545.883	   2543.396	   2544.386	
 01/09-10:29	2540.200	2543.600	2540.000	2543.600	             69	   2545.817	   2545.917	   2543.438	   2544.410	
 01/09-10:30	2543.800	2544.600	2543.200	2544.200	             53	   2545.817	   2545.942	   2543.492	   2544.436	
 01/09-10:31	2544.000	2544.000	2543.200	2543.800	             58	   2545.667	   2545.958	   2543.554	   2544.464	
 01/09-10:32	2543.800	2544.400	2543.800	2544.200	             39	   2545.483	   2545.983	   2543.671	   2544.496	
 01/09-10:33	2544.200	2545.000	2543.800	2544.800	             37	   2545.350	   2546.067	   2543.775	   2544.530	
 01/09-10:34	2544.000	2544.000	2542.000	2542.000	             21	   2545.100	   2546.092	   2543.846	   2544.552	
 01/09-10:35	2542.200	2543.400	2541.000	2543.400	             23	   2544.883	   2546.075	   2543.938	   2544.564	
 01/09-10:36	2543.400	2544.000	2542.400	2542.400	             18	   2544.667	   2546.050	   2544.008	   2544.572	
 01/09-10:37	2542.000	2542.600	2541.400	2542.600	             16	   2544.483	   2546.000	   2544.063	   2544.584	
 01/09-10:38	2542.200	2542.200	2539.400	2542.000	             81	   2544.217	   2545.925	   2544.104	   2544.576	
 01/09-10:39	2541.400	2542.600	2541.200	2542.000	             21	   2544.000	   2545.867	   2544.142	   2544.572	
 01/09-10:40	2542.000	2544.000	2542.000	2543.200	             32	   2543.933	   2545.842	   2544.200	   2544.572	
 01/09-10:41	2543.000	2547.400	2543.000	2547.400	            107	   2544.050	   2545.883	   2544.262	   2544.596	
 01/09-10:42	2546.800	2547.600	2546.800	2547.200	             66	   2544.150	   2545.842	   2544.337	   2544.612	
 01/09-10:43	2547.200	2548.000	2547.000	2547.200	             31	   2544.300	   2545.825	   2544.408	   2544.620	
 01/09-10:44	2547.200	2548.600	2547.200	2547.800	             52	   2544.383	   2545.758	   2544.479	   2544.620	
 01/09-10:45	2547.200	2547.400	2546.400	2546.400	             31	   2544.400	   2545.675	   2544.538	   2544.610	
 01/09-10:46	2546.800	2548.600	2546.800	2548.600	             55	   2544.483	   2545.658	   2544.596	   2544.616	
 01/09-10:47	2548.200	2549.000	2547.200	2547.600	             38	   2544.483	   2545.550	   2544.637	   2544.614	
 01/09-10:48	2548.000	2548.400	2547.800	2547.800	             18	   2544.500	   2545.483	   2544.679	   2544.620	
 01/09-10:49	2547.800	2547.800	2546.200	2547.400	             29	   2544.550	   2545.442	   2544.725	   2544.634	
 01/09-10:50	2548.000	2549.600	2548.000	2549.400	             34	   2544.600	   2545.442	   2544.792	   2544.656	
 01/09-10:51	2549.600	2550.400	2548.600	2548.600	             77	   2544.650	   2545.475	   2544.854	   2544.678	
 01/09-10:52	2548.800	2549.000	2547.000	2547.000	             37	   2544.700	   2545.517	   2544.887	   2544.698	
 01/09-10:53	2547.000	2547.000	2546.000	2547.000	             40	   2544.800	   2545.575	   2544.925	   2544.710	
 01/09-10:54	2547.200	2548.600	2546.600	2547.400	             28	   2545.000	   2545.642	   2544.983	   2544.714	
 01/09-10:55	2548.200	2548.200	2545.200	2546.800	             57	   2545.183	   2545.692	   2545.025	   2544.712	
 01/09-10:56	2547.600	2548.000	2546.000	2546.400	             39	   2545.367	   2545.725	   2545.067	   2544.714	
 01/09-10:57	2546.400	2546.400	2545.000	2545.000	             27	   2545.467	   2545.742	   2545.087	   2544.704	
 01/09-10:58	2545.200	2545.400	2544.000	2545.200	             36	   2545.600	   2545.742	   2545.104	   2544.692	
 01/09-10:59	2545.000	2546.400	2545.000	2545.600	             29	   2545.683	   2545.750	   2545.129	   2544.694	
 01/09-11:00	2545.600	2547.800	2545.600	2547.800	             12	   2545.800	   2545.808	   2545.179	   2544.694	
 01/09-11:01	2547.600	2548.200	2547.000	2547.400	             27	   2545.917	   2545.792	   2545.200	   2544.684	
 01/09-11:02	2547.800	2548.800	2547.800	2548.600	             20	   2546.067	   2545.775	   2545.233	   2544.668	
 01/09-11:03	2548.200	2548.400	2546.000	2546.600	             62	   2546.117	   2545.733	   2545.254	   2544.640	
 01/09-11:04	2547.000	2547.600	2546.800	2547.200	             12	   2546.300	   2545.700	   2545.283	   2544.618	
 01/09-11:05	2546.600	2547.200	2546.000	2547.000	             18	   2546.417	   2545.650	   2545.304	   2544.592	
 01/09-11:06	2547.000	2549.200	2547.000	2548.400	             27	   2546.633	   2545.650	   2545.329	   2544.572	
 01/09-11:07	2548.800	2551.400	2548.800	2550.600	             76	   2546.883	   2545.683	   2545.387	   2544.538	
 01/09-11:08	2550.800	2551.000	2550.000	2550.400	             24	   2547.167	   2545.692	   2545.446	   2544.510	
 01/09-11:09	2550.000	2550.200	2549.200	2550.000	             15	   2547.433	   2545.717	   2545.512	   2544.482	
 01/09-11:10	2549.200	2550.200	2548.200	2548.600	             20	   2547.617	   2545.775	   2545.567	   2544.454	
 01/09-11:11	2548.200	2550.000	2548.200	2550.000	             17	   2547.700	   2545.875	   2545.629	   2544.442	
 01/09-11:12	2548.400	2549.400	2548.000	2549.200	             20	   2547.767	   2545.958	   2545.688	   2544.432	
 01/09-11:13	2549.200	2549.200	2549.000	2549.000	              5	   2547.817	   2546.058	   2545.746	   2544.420	
 01/09-11:14	2549.400	2550.000	2547.400	2548.600	             47	   2547.850	   2546.117	   2545.792	   2544.410	
 01/09-11:15	2547.600	2549.200	2547.600	2549.200	             23	   2547.950	   2546.175	   2545.837	   2544.406	
 01/09-11:16	2548.400	2548.400	2547.600	2547.600	             15	   2547.917	   2546.200	   2545.850	   2544.396	
 01/09-11:17	2547.800	2547.800	2544.400	2544.800	             73	   2547.833	   2546.158	   2545.850	   2544.392	
 01/09-11:18	2545.400	2545.400	2543.400	2543.800	             44	   2547.683	   2546.092	   2545.854	   2544.386	
 01/09-11:19	2544.400	2546.200	2544.200	2544.200	             34	   2547.583	   2546.067	   2545.867	   2544.384	
 01/09-11:20	2544.200	2545.200	2544.000	2544.400	             18	   2547.400	   2546.000	   2545.858	   2544.390	
 01/09-11:21	2544.800	2546.200	2544.400	2544.400	             53	   2547.267	   2545.958	   2545.858	   2544.394	
 01/09-11:22	2544.200	2545.600	2544.200	2545.600	             10	   2547.217	   2545.958	   2545.867	   2544.404	
 01/09-11:23	2545.000	2546.000	2544.200	2545.400	             26	   2547.167	   2545.983	   2545.871	   2544.404	
 01/09-11:24	2545.000	2545.000	2543.200	2543.800	             39	   2547.050	   2546.025	   2545.883	   2544.400	
 01/09-11:25	2543.400	2543.600	2542.400	2543.000	             46	   2546.933	   2546.058	   2545.913	   2544.390	
 01/09-11:26	2543.000	2544.200	2542.400	2543.800	             41	   2546.833	   2546.100	   2545.962	   2544.386	
 01/09-11:27	2544.000	2545.000	2544.000	2545.000	              9	   2546.833	   2546.150	   2546.012	   2544.406	
 01/09-11:28	2545.000	2545.000	2544.200	2545.000	             54	   2546.833	   2546.217	   2546.050	   2544.424	
 01/09-11:29	2544.400	2545.800	2544.200	2545.400	             72	   2546.817	   2546.250	   2546.083	   2544.446	
 01/09-11:30	2545.200	2545.400	2542.800	2542.800	             22	   2546.667	   2546.233	   2546.087	   2544.444	
 01/09-13:01	2543.000	2544.400	2543.000	2543.400	             22	   2546.533	   2546.225	   2546.092	   2544.444	
 01/09-13:02	2544.800	2544.800	2544.000	2544.400	             11	   2546.383	   2546.225	   2546.104	   2544.436	
 01/09-13:03	2544.600	2544.800	2544.000	2544.000	             11	   2546.300	   2546.208	   2546.137	   2544.430	
 01/09-13:04	2543.600	2543.600	2540.000	2541.000	             68	   2546.083	   2546.192	   2546.142	   2544.406	
 01/09-13:05	2541.000	2541.000	2540.400	2540.600	             19	   2545.883	   2546.150	   2546.113	   2544.382	
 01/09-13:06	2541.000	2541.400	2540.000	2540.000	             31	   2545.600	   2546.117	   2546.083	   2544.354	
 01/09-13:07	2540.400	2542.000	2539.800	2542.000	             19	   2545.317	   2546.100	   2546.050	   2544.332	
 01/09-13:08	2542.000	2542.600	2541.600	2542.200	             10	   2545.033	   2546.100	   2546.012	   2544.312	
 01/09-13:09	2542.400	2542.600	2542.200	2542.200	              4	   2544.767	   2546.100	   2545.983	   2544.284	
 01/09-13:10	2542.600	2542.800	2542.000	2542.000	              6	   2544.550	   2546.083	   2545.962	   2544.266	
 01/09-13:11	2543.000	2543.600	2542.800	2543.000	             23	   2544.317	   2546.008	   2545.946	   2544.246	
 01/09-13:12	2542.800	2543.200	2542.600	2542.800	              5	   2544.117	   2545.942	   2545.892	   2544.212	
 01/09-13:13	2543.000	2543.000	2542.800	2542.800	              8	   2543.917	   2545.867	   2545.846	   2544.174	
 01/09-13:14	2543.200	2543.200	2542.200	2542.200	              4	   2543.700	   2545.775	   2545.767	   2544.136	
 01/09-13:15	2541.200	2542.200	2541.200	2542.000	             15	   2543.450	   2545.700	   2545.688	   2544.096	
 01/09-13:16	2541.600	2541.600	2540.600	2541.200	             30	   2543.233	   2545.575	   2545.617	   2544.052	
 01/09-13:17	2541.200	2542.400	2541.200	2542.400	             32	   2543.150	   2545.492	   2545.521	   2544.010	
 01/09-13:18	2542.400	2542.400	2541.200	2541.200	             11	   2543.083	   2545.383	   2545.433	   2543.968	
 01/09-13:19	2541.600	2542.000	2541.400	2541.400	             26	   2542.967	   2545.275	   2545.358	   2543.932	
 01/09-13:20	2541.000	2541.000	2540.200	2540.800	             11	   2542.867	   2545.133	   2545.288	   2543.882	
 01/09-13:21	2540.800	2542.600	2540.800	2542.000	             11	   2542.783	   2545.025	   2545.250	   2543.834	
 01/09-13:22	2542.400	2543.600	2542.400	2543.600	             13	   2542.717	   2544.967	   2545.242	   2543.800	
 01/09-13:23	2543.800	2543.800	2543.200	2543.800	             11	   2542.667	   2544.917	   2545.246	   2543.774	
 01/09-13:24	2543.800	2543.800	2543.600	2543.600	              4	   2542.650	   2544.850	   2545.246	   2543.754	
 01/09-13:25	2543.600	2544.600	2543.600	2543.800	             27	   2542.683	   2544.808	   2545.250	   2543.740	
 01/09-13:26	2543.600	2544.400	2543.600	2544.200	             47	   2542.700	   2544.767	   2545.246	   2543.732	
 01/09-13:27	2543.800	2544.400	2543.800	2544.400	             12	   2542.683	   2544.758	   2545.250	   2543.714	
 01/09-13:28	2544.200	2544.400	2543.600	2544.400	             11	   2542.667	   2544.750	   2545.246	   2543.696	
 01/09-13:29	2544.600	2545.600	2543.800	2545.400	             33	   2542.650	   2544.733	   2545.242	   2543.684	
 01/09-13:30	2545.400	2545.400	2544.400	2545.000	             15	   2542.717	   2544.692	   2545.250	   2543.660	
 01/09-13:31	2545.400	2545.800	2544.600	2544.600	             25	   2542.767	   2544.650	   2545.221	   2543.636	
 01/09-13:32	2544.600	2544.600	2542.800	2543.400	             25	   2542.733	   2544.558	   2545.167	   2543.610	
 01/09-13:33	2543.200	2543.800	2543.200	2543.400	              9	   2542.717	   2544.508	   2545.121	   2543.584	
 01/09-13:34	2543.400	2543.800	2542.600	2542.600	             14	   2542.767	   2544.425	   2545.063	   2543.566	
 01/09-13:35	2543.000	2544.200	2543.000	2543.000	             16	   2542.833	   2544.358	   2545.004	   2543.560	
 01/09-13:36	2543.800	2544.800	2543.800	2544.400	             15	   2542.983	   2544.292	   2544.971	   2543.566	
 01/09-13:37	2544.200	2545.200	2544.200	2545.200	             13	   2543.100	   2544.208	   2544.946	   2543.578	
 01/09-13:38	2544.600	2546.000	2544.600	2546.000	             12	   2543.233	   2544.133	   2544.913	   2543.580	
 01/09-13:39	2545.800	2546.000	2545.200	2545.400	             32	   2543.333	   2544.050	   2544.883	   2543.578	
 01/09-13:40	2545.800	2546.600	2544.800	2546.200	             42	   2543.483	   2544.017	   2544.896	   2543.586	
 01/09-13:41	2546.000	2547.000	2546.000	2546.000	             30	   2543.583	   2543.950	   2544.913	   2543.602	
 01/09-13:42	2545.800	2546.400	2545.800	2546.000	             33	   2543.683	   2543.900	   2544.929	   2543.616	
