日期、開市價、最高價、最低價、收市價、成交量
2013-11-15,31.78,32.08,30.83,31.91,4007636
2013-11-14,32.70,33.25,31.12,31.88,6567683
2013-11-13,29.40,32.24,29.00,32.00,10539841
2013-11-12,29.11,29.78,27.83,28.23,4665825
2013-11-11,28.93,29.90,28.25,29.56,4346750
2013-11-08,27.21,28.65,26.56,28.65,4180694
2013-11-07,26.90,27.06,25.54,26.25,3907527
2013-11-06,28.45,28.50,26.13,27.28,4824538
2013-11-05,28.66,29.20,27.30,28.19,4455707
2013-11-04,27.07,29.00,26.75,28.65,7309811
2013-11-01,23.95,25.56,23.92,25.56,5676783
2013-10-31,22.50,23.68,22.02,23.00,3157697
2013-10-30,24.28,24.79,23.10,23.31,3450744
2013-10-29,22.78,23.95,22.65,23.95,2769569
2013-10-28,23.84,24.50,21.80,22.84,6986711
2013-10-25,24.89,24.98,22.62,23.55,5900481
2013-10-24,25.00,25.56,24.55,24.73,3901448
2013-10-23,24.50,24.87,23.91,24.65,5319098
2013-10-22,23.57,24.35,22.16,24.34,5522213
2013-10-21,23.85,24.25,22.64,23.12,5445703
2013-10-18,22.69,23.48,22.32,23.13,4030845
2013-10-17,22.30,22.94,21.68,22.29,3940727
2013-10-16,21.09,22.10,21.09,22.02,3585197
2013-10-15,21.20,21.85,20.47,20.79,4555861
2013-10-14,19.48,20.65,19.33,20.57,3319783
2013-10-11,19.70,20.12,19.12,19.85,3884978
2013-10-10,18.12,19.20,18.11,19.18,3997134
2013-10-09,18.45,18.55,16.76,17.58,4194906
2013-10-08,19.65,20.17,17.87,18.24,5217467
2013-10-07,19.16,19.90,19.00,19.13,2595731
2013-10-04,19.65,19.70,18.75,19.59,3602575
2013-10-03,19.11,19.77,18.66,19.37,5147845
2013-10-02,18.02,18.69,17.88,18.56,3398597
2013-10-01,17.24,18.19,17.22,18.18,3654319
2013-09-30,16.24,17.71,15.94,16.99,4827963
2013-09-27,15.43,16.80,15.21,16.72,4356114
2013-09-26,15.36,15.77,15.05,15.27,2380038
2013-09-25,14.86,15.46,14.56,15.20,3096544
2013-09-24,14.30,15.00,14.07,14.56,1867683
2013-09-23,14.82,15.10,14.11,14.36,1944942
2013-09-20,14.96,15.36,14.80,14.85,2153948
2013-09-19,14.79,14.95,14.50,14.86,1650313
2013-09-18,14.35,14.88,14.12,14.61,2213104
2013-09-17,14.20,14.33,13.93,14.31,1171386
2013-09-16,14.24,14.57,14.00,14.18,1925496
2013-09-13,13.65,14.08,13.40,13.98,1684631
2013-09-12,14.05,14.19,13.65,13.68,1469169
2013-09-11,13.89,14.30,13.75,13.97,1507918
2013-09-10,14.42,14.60,13.89,14.09,2506800
2013-09-09,13.76,14.48,13.72,14.14,2620632
2013-09-06,14.38,14.38,13.60,13.77,2301293
2013-09-05,13.59,14.41,13.57,14.06,3318922
2013-09-04,13.12,13.85,12.96,13.47,2867064
2013-09-03,12.75,13.25,12.70,13.22,2759714
2013-08-30,12.35,12.78,12.17,12.51,2852070
2013-08-29,12.20,12.80,12.04,12.09,2752379
2013-08-28,11.97,12.50,11.88,12.32,1432016
2013-08-27,12.59,12.78,12.01,12.09,2657739
2013-08-26,13.29,13.57,12.95,13.03,2586293
2013-08-23,13.00,13.19,12.72,13.16,2756614
2013-08-22,12.76,12.97,12.28,12.66,2912514
2013-08-21,11.50,12.87,11.32,12.51,4814719
2013-08-20,11.01,11.55,11.01,11.46,2010456
2013-08-19,11.81,11.86,10.87,10.95,2654278
2013-08-16,10.78,11.65,10.66,11.47,2643871
2013-08-15,11.75,11.82,10.55,10.64,4477615
2013-08-14,11.84,12.42,11.73,12.00,2691073
2013-08-13,13.00,13.13,11.75,11.78,4375092
2013-08-12,13.15,13.43,12.84,12.89,1895824
2013-08-09,13.13,13.65,13.00,13.23,2478744
2013-08-08,13.70,14.21,13.14,13.17,5520362
2013-08-07,14.84,15.10,13.81,14.31,5025169
2013-08-06,16.09,16.40,15.02,15.37,4009077
2013-08-05,14.50,15.85,14.47,15.75,5439777
2013-08-02,14.49,14.85,13.96,14.11,2138896
2013-08-01,15.01,15.07,14.24,14.38,2679107
2013-07-31,14.20,15.10,14.02,14.79,4427082
2013-07-30,13.72,14.12,13.51,14.03,2466627
2013-07-29,14.11,14.30,13.50,13.60,2666514
2013-07-26,13.51,13.90,13.44,13.68,1054455
2013-07-25,13.48,13.83,13.13,13.69,1439734
2013-07-24,13.97,14.20,13.42,13.58,1738749
2013-07-23,14.20,14.39,13.68,13.90,2834539
2013-07-22,13.46,14.20,13.39,13.96,3004443
